id	r1	r2	r3
bootstrap-quickstart	1	1	0
bootstrap-manual	1	1	1
chat-ui	1	1	1
theming	1	1	0
tool-calling	1	1	1
toolschema-macro	1	1	1
mcp-client	1	1	1
mcp-host	0	1	0
appintents	1	1	0
voice	1	1	0
rag-document-library	1	1	0
cloud-backends	1	1	0
ollama-backend	1	1	1
foundation-backend	1	1	0
huggingface-downloads	1	1	0
model-management-ui	1	1	0
local-inference-mlx	1	1	1
local-inference-llama	1	1	1
media-generation	1	1	0
openai-compat-server	1	1	1
skills	0	1	0
anylanguagemodel	0	1	0
telemetry-otlp	0	1	0
chat-export-import	0	0	0
turn-loop-actions	1	1	0
share-action-extensions	1	1	0
benchmarking	0	0	0
web-search	0	0	0
fuzzing	1	1	1
app-eval	0	1	1
test-support-kits	1	1	1
macos-native-experience	0	0	0
